volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_spleen,seg_liver
KORA2455753,24225,24147,24233,24186,24201,24248,24201,24183,24343,24149,141579,141324,141043,141126,141065,140753,140976,141604,141333,141255,141121,24203
KORA2458197,23112,23251,23524,23128,23228,23173,23251,23392,23225,23240,189020,189020,189488,188714,188388,189865,189206,188856,189702,189078,188909,23134
KORA2453620,17093,17119,17127,17156,17074,17062,17075,17152,17093,17061,159803,159406,159881,159788,159999,160365,159511,159532,160269,159370,159469,17107
KORA2458707,12733,12836,12539,12742,12611,12893,12904,12746,12662,12854,135440,135759,136114,135566,135595,135950,135252,136014,135687,135037,135548,12733
KORA2456661,13473,13718,13406,13458,13813,13503,13475,13344,13439,13431,108307,108448,108728,108601,108921,107598,108352,108482,108986,109229,108231,13469
KORA2461956,18377,18369,18443,18458,18386,18392,18383,18594,18441,18445,125622,126008,125729,125143,125343,125088,124917,124918,125512,125220,125421,18456
KORA2453464,11077,11064,10987,10954,10841,10927,11205,11054,10969,11051,102949,102880,103299,102783,102354,103233,102654,102655,103244,103210,102800,10992
KORA2456562,20367,20364,20454,20351,20459,20371,20358,20385,20354,20318,152769,153552,153826,153861,151889,153210,149134,150017,155521,152152,152510,20316
KORA2452426,18373,17063,17957,17853,18349,17736,18006,17872,18011,17321,116706,117823,116803,117822,117181,117024,117448,116833,116594,117332,116930,17798
KORA2458366,6789,6497,7242,6953,6969,7361,7200,6995,7202,7146,122928,123698,123407,123667,123598,123399,123675,122946,123244,123671,123473,7138
KORA2461206,17150,17044,16930,17107,17156,16952,16968,17053,17076,17079,104924,105265,106030,105574,104401,105934,105828,106244,104643,104814,105082,17031
KORA2461338,15478,15451,15398,15441,15304,15470,15292,15478,15615,15490,150144,149082,150241,148871,150194,149295,149024,149971,149861,149728,149685,15442
